年龄段,手机型号,销量
[18~24],苹果（apple）,35418
[18~24],华为（huawei）,29569
18岁以下,,29554
[18~24],其他,18620
[18~24],dannilie,16242
[18~24],其他品牌,15404
[18~24],叶梦丝yemengsi,11938
[18~24],oppo,9883
[18~24],qyhjd,8765
50岁以上,,8419
[18~24],青笺谈墨,8354
[18~24],三星（samsung）,6958
[25~29],苹果（apple）,6666
[18~24],vivo,6660
[18~24],华为,5334
[25~29],华为（huawei）,5249
[18~24],飞利浦（philips）,4633
[18~24],孜淑zishu,4526
[18~24],闪猎,4382
[18~24],小米（mi）,4357
[18~24],袋宝贝（daibaobei）,4129
[18~24],kojom,3942
[18~24],itzoom,3936
[18~24],conwhd,3804
[18~24],郎太轩琦langtaixuanqi,3578
[18~24],魅族（meizu）,3519
[18~24],ounegd,3417
[18~24],apple,3379
[18~24],飞利浦,3338
[18~24],尚尚签,3118
[30~34],苹果（apple）,2977
[18~24],isoojo,2949
[25~29],其他,2850
[25~29],其他品牌,2817
18岁以下,苹果（apple）,2740
[18~24],0,2674
[18~24],360,2521
18岁以下,华为（huawei）,2510
[18~24],戴霸daiba,2465
[30~34],华为（huawei）,2418
[18~24],丽人族,2309
[18~24],飞利浦philips,2271
[25~29],dannilie,2164
[18~24],诺基亚（nokia）,2090
18岁以下,dannilie,1996
[18~24],汉牌,1994
[18~24],三星,1883
[18~24],联想,1880
[25~29],oppo,1820
[18~24],魔风者,1807
18岁以下,叶梦丝yemengsi,1787
[18~24],索尼,1687
[18~24],花之家,1684
[18~24],索尼（sony）,1666
[18~24],克雷盾（keleidun）,1663
[18~24],其它,1614
[18~24],倍克贝克,1585
18岁以下,其他,1579
[25~29],叶梦丝yemengsi,1569
[30~34],其他,1542
[18~24],戴为,1532
[25~29],qyhjd,1505
[25~29],青笺谈墨,1479
[18~24],bsn,1462
[18~24],tcl,1461
[18~24],联想（lenovo）,1461
[18~24],联伸锦,1454
[18~24],辉宏达,1452
[18~24],至配（zeipei）,1451
[18~24],索猫,1392
[25~29],三星（samsung）,1374
[30~34],其他品牌,1338
[18~24],缤唐,1325
[18~24],中兴（zte）,1318
[18~24],尚路,1277
[18~24],卡贝罗（kabelluo）,1213
[30~34],dannilie,1212
[40~49],苹果（apple）,1210
[18~24],努比亚,1200
[18~24],trendsetter,1196
[18~24],争光,1184
[18~24],旺驰wangchi,1176
[35~39],苹果（apple）,1170
[18~24],雷锤,1167
[18~24],索爱soaiy,1165
[18~24],卡弗拉,1165
[25~29],袋宝贝（daibaobei）,1137
