地区,品牌,数量
上海,0,96
上海,1,22
上海,10559360,11
上海,10670390,22
上海,21ke,10
上海,360,63
上海,3s,10
上海,594939,10
上海,a-bf,11
上海,agm,10
上海,ahualuo,10
上海,aoro,11
上海,ap,11
上海,apobico,11
上海,apple,153
上海,aprilbuy,11
上海,archie&rita,11
上海,b.duck,11
上海,baidafely,22
上海,bigpig,11
上海,binyeae,33
上海,bsn,55
上海,casmely,11
上海,ckcy,33
上海,conwhd,76
上海,dannilie,385
上海,dmm,11
上海,doloise,30
上海,f.l,11
上海,fale,11
上海,fghgf,21
上海,freeson,11
上海,hellokitty,10
上海,hiturbo,11
上海,hixanny,10
上海,ifacemall,11
上海,isoojo,102
上海,itzoom,104
上海,ivr,10
上海,jdhdl,40
上海,jmgo坚果,11
上海,kingmagic,11
上海,kojom,116
上海,koolife,11
上海,kowell,11
上海,kz,11
上海,lg,21
上海,lism,11
上海,lofter洛夫特,11
上海,lrker,11
上海,lzl,43
上海,mach,11
上海,magus,10
上海,mann,11
上海,mcwl,20
上海,meks,11
上海,msei,22
上海,mutouniao,53
上海,nan,11
上海,nejifu,10
上海,no2image,30
上海,nohon_诺希,11
上海,oloey,10
上海,oppo,247
上海,oppor17,10
上海,oppor17pro,11
上海,ounegd,90
上海,payoff,10
上海,philips,10
上海,podoor,10
上海,qyhjd,249
上海,romsion,32
上海,s-guard,10
上海,sony,11
上海,tcl,32
上海,tensam,32
上海,toncy,11
上海,trendsetter,54
上海,ttfamily,10
上海,ttvxo,11
上海,vetas,11
上海,vieruodis,11
上海,vivo,157
上海,we,10
上海,x-it,11
上海,xblgx,11
上海,yandex,11
上海,yumqua,21
上海,zimon,10
上海,zmi,11
上海,万姆,11
上海,三星,85
上海,三星（samsung）,171
上海,东烁,11
上海,中兴,11
上海,中兴（zte）,31
上海,中邦jobon,11
上海,丰驭（hccbm）,20
上海,丽人族,107
上海,久爱,10
上海,久爱（jiuai）,11
上海,乐橙,9
上海,乐诺lenuo,32
上海,争光,20
上海,事业发shiyefa,11
上海,京利安品牌店,11
上海,亿魅（billionchaim）,10
上海,仕跟斯,10
上海,伊诺茂（ynuom）,10
上海,众度,31
上海,优乐明,11
上海,优亚勒youyale,11
上海,优勋（youxun）,11
上海,优菡舍,11
上海,佑觅乐,11
上海,佳嘉盈,9
上海,侠米,11
上海,倍克贝克,86
上海,倪尓克,11
上海,倾忆情,11
上海,倾晨,11
上海,克诺欧kenuoou,10
上海,克里特（kreta）,10
上海,克雷盾（keleidun）,63
上海,兴晟源,11
上海,其他,515
上海,其他品牌,398
上海,其它,52
上海,冠悦guanyue,10
上海,冰炎（bingyan）,10
上海,净也jingye,10
上海,凡盾,10
上海,初日,11
上海,初遇,11
上海,刺勋（cixun）,10
上海,努比亚,75
上海,劲保ganvol,10
上海,北比（beibi）,10
上海,华为,150
上海,华为huawei,22
上海,华为nova3i,9
上海,华为（huawei）,809
上海,华洛芙,11
上海,华视美,11
上海,卓明舒,21
上海,博楷茂兴（bokaimaoxing）,11
上海,博瑞威boriwee,11
上海,卡冰莉（kabingli）,30
上海,卡弗拉,42
上海,卡泽威kazewei,11
上海,卡饰社（carsetcity）,10
上海,即满,11
上海,友莱卫浴（yoroow）,11
上海,古莱登（gulaideng）,11
上海,召召木木（ccmumu）,22
上海,可乐猪,11
上海,叶梦丝yemengsi,386
上海,吉利达jilida,10
上海,名樱,10
上海,含丝奇,11
上海,品基（paenqear）,10
上海,品奇,11
上海,哇塞牛（wasainiu）,11
上海,哮天虎（xiaotianhu）,11
上海,喜嘉华,11
上海,图拉图,11
上海,圣跃,11
上海,城市枫林,10
上海,墙上飞,11
上海,墨谷,11
上海,墨迪（muedy）,10
上海,夏腾,43
上海,多面体,10
上海,天才小d,10
上海,天椒,11
上海,天语（k-touch）,22
上海,奇声qisheng,40
上海,奇略,11
上海,奇际,9
上海,奔创,11
上海,奥凯罗,11
上海,奥古者aoguzhe,22
上海,奥多金,11
上海,奥林丹顿（olymdanton）,10
上海,威视朗,10
上海,孜淑zishu,230
上海,宅派（zhaipai）,10
上海,宅耕zhaigeng,54
上海,安佑卓,21
上海,安佑卓anyouzhuo,11
上海,安思尔,11
上海,宝丽音（polaying）,11
上海,家柏饰corated,11
上海,宿巢,11
上海,寒江雪,11
上海,小汨,10
上海,小犀,20
上海,小米,32
上海,小米（mi）,178
上海,小雪人,11
上海,小霸王,11
上海,尚励,11
上海,尚尚签,54
上海,尚翔（shangxiang）,11
上海,尚路,55
上海,岙筱,10
上海,希罗威（cnlv）,10
上海,幸运星,11
上海,幻响,11
上海,广弓,21
上海,广耐,32
上海,序歌（xuge）,11
上海,度隽,32
上海,弗雷德,11
上海,彼冠（biguan）,10
上海,往前飞,10
上海,微启纪,10
上海,德骊嘉,11
上海,必齐（biqi）,11
上海,思帝诺（sidinuo）,11
上海,恋品惠,22
上海,恬鑫,22
上海,惠维,33
上海,意喜,10
上海,慈居家,10
上海,慕致muzhi,44
上海,战驴,11
上海,戴为,33
上海,戴为原装正品,11
上海,戴霸daiba,49
上海,拽猫,11
上海,捷贵,11
上海,摩古,31
上海,摩古（mougol）,11
上海,摩托罗拉,41
上海,摩诺斯,11
上海,斯尔格(hsier),11
上海,斯尔格（hsier）,22
上海,斯特龙（sotrlo）,11
上海,施卡洛,10
上海,旅鲨（travelshark）,11
上海,旺驰wangchi,33
上海,明枫（mingfeng）,10
上海,晨楊时光（chenyangshiguan,21
上海,曲面全景屏双曲面全屏复盖波尔多冰珀蓝,11
上海,曼卡尔,11
上海,曼珠,11
上海,朗唯科(lanwk),11
上海,机诺基,20
上海,杰菈,21
上海,极致盛放,11
上海,柏仕科,11
上海,柠乐,11
上海,柳斯舍（liusishe）,21
上海,格子兮（vup）,11
上海,森麥康,10
上海,樱之惠,21
上海,樱桃猫（cherrycat）,20
上海,欧妃尚（ofesion）,11
上海,正炫,10
上海,步步牛（bubuniu）,10
上海,殇雨嫣,11
上海,毕亚兹,11
上海,汉牌,52
上海,沄汧,10
上海,沐磐,11
上海,法丽隆（falilong）,11
上海,泰拉锋,22
上海,海天（haitian）,10
上海,海尔（haier）,20
上海,海罗威（hailuowei）,21
上海,涵玥,11
上海,涵讯,11
上海,添翼,11
上海,潮和,11
上海,潮异雅,11
上海,灵烦lingfan,21
上海,灿仕达（canshida）,20
上海,点缤,31
上海,爵浪,11
上海,牛伙计,11
上海,牧鱼（herdfish）,11
上海,特七,11
上海,犀牛角（eckomounts）,11
上海,猫妞（maoniu）,11
上海,玄皇xuanhuang,33
上海,珠泰,11
上海,班蓝,10
上海,琛岸,11
上海,瑜维晟,11
上海,瑞格尔,11
上海,甜柠檬sweetlemon,11
上海,生肖马,11
上海,田蟹,44
上海,甲盾士,11
上海,电狐（dianhu）,10
上海,百诺（benro）,11
上海,皓美雅,11
上海,真吉吉,11
上海,真魅zhenmei,11
上海,知茗,11
上海,知途,11
上海,硕柯园,11
上海,神行之光,11
上海,穗腾,11
上海,竹仔鱼,11
上海,筠芸筌,10
上海,筱齐,11
上海,米家,10
上海,米纶斯（milunsi）,11
上海,索云（suoyun）,11
上海,索尼,52
上海,索尼sony,10
上海,索尼（sony）,33
上海,索弘,10
上海,索文,10
上海,索爱,11
上海,索爱soaiy,22
上海,索爱（soaiy）,76
上海,索猫,32
上海,紫米,10
上海,紫风铃,11
上海,纽曼（newman）,11
上海,纽曼（newsmy）,53
上海,织语（zhiyu）,11
上海,绘话,10
上海,绿帅,11
上海,绿联,10
上海,绿联（ugreen）,11
上海,缤唐,33
上海,罗璐鸥,10
上海,美图,11
上海,美壳壳,22
上海,美赞仕（meizanshi）,30
上海,美跃（meiyue）,53
上海,美逸,10
上海,羽芯,21
上海,翌玉庭,33
上海,耿莱,11
上海,联伸锦,33
上海,联想,43
上海,联想(lenovo),10
上海,联想k5pro,11
上海,联想lenovo,11
上海,联想z5pro,11
上海,联想（lenovo）,75
上海,联浦,11
上海,肯捷kenjie,10
上海,膜思维,10
上海,至乐zhile,10
上海,至配（zeipei）,32
上海,舒沃shuwo,10
上海,艾帛利（aiboully）,11
上海,艾美仑,11
上海,芊阙,10
上海,花之家,83
上海,花卿士,11
上海,苏发,11
上海,英西达（kingcyta）,10
上海,苹果,11
上海,苹果（apple）,1160
上海,茗芮居,10
上海,荣耀,11
上海,莜茉（yomo）,20
上海,莫哥斯,11
