时间段,数量
11-11,49054
11-10,13310
11-9,5308
11-8,4610
11-7,4570
11-6,3904
11-5,2840
10-30,2816
6-26,2778
11-4,2766
11-1,2632
11-3,2506
6-28,2272
6-27,2124
6-18,2092
11-2,2092
10-31,1882
6-17,1860
8-28,1692
6-25,1530
5-22,1422
9-9,1420
10-22,1416
5-21,1340
10-17,1330
10-23,1306
10-21,1286
7-10,1280
6-24,1274
9-25,1274
10-14,1264
5-25,1228
9-11,1202
10-24,1186
9-6,1172
10-9,1122
5-24,1120
6-14,1110
5-30,1098
10-28,1080
10-27,1058
6-19,1052
5-23,1050
10-7,1040
9-22,1038
10-29,1036
10-19,1032
10-18,1030
6-5,1030
9-3,1026
8-27,1018
10-15,1016
9-23,1014
10-25,1010
10-26,1004
8-26,1002
9-14,1002
6-20,998
10-8,992
9-4,988
6-21,986
9-24,982
8-20,964
10-16,964
9-5,962
6-3,962
8-29,958
7-12,954
9-2,942
6-4,940
6-7,932
7-22,924
9-10,924
7-23,924
9-26,918
10-10,914
8-13,904
5-27,902
7-15,902
5-29,898
8-15,896
8-14,892
8-1,892
5-31,892
6-16,886
6-15,876
5-26,874
10-20,862
6-29,860
8-31,856
6-6,856
5-20,854
10-13,852
5-28,844
6-23,840
9-17,834
7-25,832
8-21,828
8-19,818
9-8,816
7-17,814
10-2,806
10-11,806
9-16,806
9-28,790
6-10,790
9-29,788
10-12,780
7-11,778
8-5,774
7-18,772
10-6,762
6-9,760
6-22,758
8-8,750
9-27,740
6-12,740
9-13,736
7-29,718
7-4,718
6-13,714
7-9,714
7-21,714
7-5,712
9-12,708
8-4,692
9-15,686
7-28,680
7-31,678
8-12,674
7-8,672
7-26,670
8-16,666
9-1,660
8-17,658
8-30,656
9-30,656
6-1,648
7-24,634
8-25,630
7-30,630
10-1,628
6-8,628
8-22,626
7-1,626
6-2,618
7-7,614
8-6,608
8-11,604
9-7,600
7-16,586
10-3,584
7-6,576
7-3,564
9-19,558
6-11,554
9-18,554
9-21,554
8-10,548
8-23,546
8-3,540
7-13,528
7-27,524
8-2,512
6-30,508
10-5,508
7-19,500
10-4,492
9-20,488
8-24,474
8-9,468
8-7,460
7-20,458
7-2,448
8-18,446
7-14,426
5-13,158
5-14,132
5-18,106
5-16,100
5-15,84
5-12,84
5-19,80
5-17,74
5-11,68
